timestamp,tweet_text,username,all_hashtags
2019-12-14 12:54:23,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'Sisolili10',[]
2019-12-14 12:54:16,b'RT @RTSnyderCut: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 sorry #ReleaseTheSnyderCut @SUBWAY Aquaman: TunaThe Flash: Burger pattyBatman: Sliced beefSuperman: American Che\xe2\x80\xa6',b'RDhilipan10',['ReleaseTheSnyderCut']
2019-12-14 12:54:08,b'RT @MY52680440: #joker Ready for Christmas\xef\xbc\x9fElegance\xf0\x9f\x91\x87Batman: The Long Halloween https://t.co/OeSGmmm7ts',b'Sammy_ngV',['joker']
2019-12-14 12:54:06,"b'""Satisfied?""'",b'Batman_Kbot',[]
2019-12-14 12:53:55,b'RT @mrmanhere_: I think the only logical reason why Batman (who is a human with no power) is able to withstand punches from Superman is bec\xe2\x80\xa6',b'Lulu_Graezinski',[]
2019-12-14 12:53:50,"b'RT @vishwaskverma: In one scene I was like, @VancityReynolds is now going to say, ""I am Batman"" again.#6Underground'",b'DCUBatman',['6Underground']
2019-12-14 12:53:48,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'CesarArgote',[]
2019-12-14 12:53:38,b'RT @WW84DIANA: thinking about how superman and batman have 92827262 animated movies and solo series while wonder woman has only two (2) ani\xe2\x80\xa6',b'xHoldMeTae',[]
2019-12-14 12:53:31,b'RT @shabatprince: Could it be that Zack has a uncompromised Batman v Superman too? \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94#ReleaseTheSnyderCut',b'Mohith7548',['ReleaseTheSnyderCut']
2019-12-14 12:53:29,"b""RT @JDBtheROCKING6: If Asim's voice is irritating then I'm Batman #WeLoveAsimKiAwaaz""",b'Shifa82118227',['WeLoveAsimKiAwaaz']
2019-12-14 12:53:23,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'ValentinKevin10',[]
2019-12-14 12:53:18,"b""#QueenOnMXPlayer For those who watching #Queen, do watch it in Tamil - English version that's available. It's better than Tamil version.""",b'batman_tn1',"['QueenOnMXPlayer', 'Queen']"
